age_group,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid
20-29,6.069516432168084,10.060603813630333,18157.11262548375,25.366128060877333,1.1023532544080001,0.4343504257395833,271.13889579758916,746.6787637187584,27.441144582922664
30-39,6.035578604618084,10.01035085440725,18214.00436435775,24.621969600417163,1.0862237664186667,0.4278500364829167,271.46323297982167,742.0629073035334,27.145761058168585
40-49,6.165241936426334,10.622989462004083,17924.21956439642,24.46495301801983,1.1284845750017498,0.43424486739074997,275.2823113451375,717.8419797769501,27.348964803296667
50-59,6.185461981061,10.768530323017167,18057.825445451166,24.237946500797918,1.14214393771525,0.4350944601645,272.71497413180754,725.83483322835,27.505688338809083
60-69,6.197227102270333,10.849969362585833,18589.801400306085,24.250110895859496,1.15570801766,0.4388549436135,274.8964364193075,744.9421643665415,27.725064974071
70-79,6.388382897614833,11.352713631220501,19004.051933236584,24.775365284353168,1.21259424550425,0.4533005150703333,282.66708767263833,760.9153130012168,28.149737938102334
