sex,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid
female,6.025315726901945,10.366234352373194,18030.744069461278,23.880024932873553,1.117765920927889,0.4262157452751389,269.78840304283364,729.62260406705,26.985083788967472
male,6.321820591150944,10.85548479658186,18618.261041615973,25.358799520568084,1.1580700113080833,0.4483493375453889,279.5992430726003,749.8027163980667,28.120370109489308
